Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",90.5000,-92.0000,90.0000,top
"C2","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.5000,-113.0000,-45.0000,top
"C3","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",100.0000,-108.5000,90.0000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",106.0000,-116.5000,0.0000,top
"R1","200K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",101.0000,-119.0000,180.0000,top
"R2","5R1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.0000,-112.5000,90.0000,top
"R3","5K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",101.0000,-116.5000,0.0000,top
"R4","19K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",104.0000,-104.5000,180.0000,top
"R5","8K8","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.0000,-104.5000,0.0000,top
"U2","LT1012","SO-8_3.9x4.9mm_P1.27mm",105.0000,-110.5000,-90.0000,top
